Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
28,1,0.000,0.991,0.009,0.000,0.000,0.000,0
28,2,0.000,0.000,1.000,0.000,0.000,0.000,0
28,3,0.000,0.000,0.000,0.000,0.000,0.000,0
28,4,0.000,0.000,0.000,0.000,0.000,0.000,0
28,5,0.000,0.000,0.000,0.000,0.000,0.000,0
28,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
29,0,0.936,0.060,0.003,0.000,0.000,0.000,0
29,1,0.158,0.804,0.036,0.002,0.000,0.000,0
29,2,0.000,0.105,0.895,0.000,0.000,0.000,0
29,3,0.000,0.000,0.000,0.000,0.000,0.000,0
29,4,0.000,0.000,0.000,0.000,0.000,0.000,0
29,5,0.000,0.000,0.000,0.000,0.000,0.000,0
29,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30,0,0.965,0.034,0.000,0.000,0.000,0.000,0
30,1,0.000,0.984,0.016,0.000,0.000,0.000,0
30,2,0.000,0.000,0.979,0.021,0.000,0.000,0
30,3,0.000,0.000,0.000,1.000,0.000,0.000,0
30,4,0.000,0.000,0.000,0.000,0.000,0.000,0
30,5,0.000,0.000,0.000,0.000,0.000,0.000,0
30,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
31,0,1.000,0.000,0.000,0.000,0.000,0.000,0
31,1,0.000,1.000,0.000,0.000,0.000,0.000,0
31,2,0.000,0.000,1.000,0.000,0.000,0.000,0
31,3,0.000,0.000,0.000,1.000,0.000,0.000,0
31,4,0.000,0.000,0.000,0.000,0.000,0.000,0
31,5,0.000,0.000,0.000,0.000,0.000,0.000,0
31,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
32,0,0.906,0.090,0.004,0.000,0.000,0.000,0
32,1,0.153,0.785,0.061,0.001,0.000,0.000,0
32,2,0.103,0.259,0.586,0.052,0.000,0.000,0
32,3,0.000,0.000,1.000,0.000,0.000,0.000,0
32,4,0.000,0.000,0.000,0.000,0.000,0.000,0
32,5,0.000,0.000,0.000,0.000,0.000,0.000,0
32,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
33,0,0.985,0.015,0.000,0.000,0.000,0.000,0
33,1,0.070,0.918,0.012,0.000,0.000,0.000,0
33,2,0.000,0.092,0.908,0.000,0.000,0.000,0
33,3,0.000,0.250,0.000,0.750,0.000,0.000,0
33,4,0.000,0.000,0.000,0.000,0.000,0.000,0
33,5,0.000,0.000,0.000,0.000,0.000,0.000,0
33,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34,0,1.000,0.000,0.000,0.000,0.000,0.000,0
34,1,0.000,1.000,0.000,0.000,0.000,0.000,0
34,2,0.000,0.000,1.000,0.000,0.000,0.000,0
34,3,0.000,0.000,0.000,1.000,0.000,0.000,0
34,4,0.000,0.000,0.000,0.000,0.000,0.000,0
34,5,0.000,0.000,0.000,0.000,0.000,0.000,0
34,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,0,0.736,0.235,0.028,0.002,0.000,0.000,0
35,1,0.198,0.628,0.157,0.015,0.001,0.000,0
35,2,0.050,0.297,0.554,0.089,0.010,0.000,0
35,3,0.000,0.000,0.000,1.000,0.000,0.000,0
35,4,0.000,0.000,0.000,0.000,0.000,0.000,0
35,5,0.000,0.000,0.000,0.000,0.000,0.000,0
35,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,0,0.962,0.038,0.000,0.000,0.000,0.000,0
36,1,0.065,0.912,0.023,0.000,0.000,0.000,0
36,2,0.003,0.129,0.849,0.019,0.000,0.000,0
36,3,0.000,0.000,0.333,0.667,0.000,0.000,0
36,4,0.000,0.000,0.000,0.000,1.000,0.000,0
36,5,0.000,0.000,0.000,0.000,0.000,0.000,0
36,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37,0,0.982,0.018,0.000,0.000,0.000,0.000,0
37,1,0.000,0.989,0.011,0.000,0.000,0.000,0
37,2,0.000,0.000,0.981,0.016,0.003,0.000,0
37,3,0.000,0.000,0.000,0.964,0.036,0.000,0
37,4,0.000,0.000,0.000,0.000,1.000,0.000,0
37,5,0.000,0.000,0.000,0.000,0.000,0.000,0
37,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38,0,0.757,0.219,0.023,0.001,0.000,0.000,0
38,1,0.044,0.768,0.175,0.012,0.001,0.000,0
38,2,0.000,0.098,0.737,0.150,0.015,0.000,0
38,3,0.000,0.000,0.094,0.688,0.219,0.000,0
38,4,0.000,0.000,0.000,0.000,0.750,0.250,0
38,5,0.000,0.000,0.000,0.000,0.000,0.000,0
38,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,0,0.962,0.038,0.000,0.000,0.000,0.000,0
39,1,0.068,0.908,0.024,0.001,0.000,0.000,0
39,2,0.008,0.123,0.852,0.017,0.000,0.000,0
39,3,0.000,0.021,0.158,0.811,0.011,0.000,0
39,4,0.000,0.000,0.059,0.294,0.588,0.059,0
39,5,0.000,0.000,0.000,0.000,0.000,1.000,0
39,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40,0,1.000,0.000,0.000,0.000,0.000,0.000,0
40,1,0.072,0.928,0.000,0.000,0.000,0.000,0
40,2,0.005,0.140,0.854,0.000,0.000,0.000,0
40,3,0.000,0.011,0.213,0.777,0.000,0.000,0
40,4,0.000,0.000,0.000,0.273,0.727,0.000,0
40,5,0.000,0.000,0.000,0.000,0.500,0.500,0
40,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,0,0.462,0.398,0.113,0.026,0.001,0.000,0
41,1,0.041,0.550,0.320,0.082,0.008,0.000,0
41,2,0.002,0.126,0.550,0.280,0.039,0.002,0
41,3,0.000,0.026,0.132,0.697,0.132,0.013,0
41,4,0.000,0.000,0.000,0.111,0.667,0.222,0
41,5,0.000,0.000,0.000,0.000,0.000,1.000,0
41,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,0,0.979,0.021,0.000,0.000,0.000,0.000,0
42,1,0.040,0.948,0.011,0.000,0.000,0.000,0
42,2,0.003,0.072,0.914,0.012,0.000,0.000,0
42,3,0.000,0.000,0.121,0.869,0.010,0.000,0
42,4,0.000,0.000,0.019,0.132,0.849,0.000,0
42,5,0.000,0.000,0.000,0.000,0.200,0.800,0
42,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,0,1.000,0.000,0.000,0.000,0.000,0.000,0
43,1,0.037,0.963,0.000,0.000,0.000,0.000,0
43,2,0.003,0.049,0.949,0.000,0.000,0.000,0
43,3,0.000,0.003,0.071,0.926,0.000,0.000,0
43,4,0.000,0.000,0.020,0.080,0.900,0.000,0
43,5,0.000,0.000,0.000,0.000,0.000,1.000,0
43,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,0,0.615,0.318,0.063,0.004,0.000,0.000,0
44,1,0.027,0.656,0.263,0.051,0.003,0.000,0
44,2,0.000,0.061,0.674,0.236,0.027,0.002,0
44,3,0.000,0.003,0.087,0.705,0.180,0.025,0
44,4,0.000,0.000,0.022,0.222,0.733,0.022,0
44,5,0.000,0.000,0.000,0.250,0.250,0.500,0
44,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,0,0.897,0.099,0.004,0.000,0.000,0.000,0
45,1,0.000,0.904,0.094,0.002,0.000,0.000,0
45,2,0.000,0.000,0.948,0.051,0.001,0.000,0
45,3,0.000,0.000,0.000,0.959,0.041,0.000,0
45,4,0.000,0.000,0.000,0.000,0.970,0.030,0
45,5,0.000,0.000,0.000,0.000,0.000,1.000,0
