Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
33,1,0.096,0.797,0.102,0.005,0.000,0.000,0
33,2,0.013,0.170,0.757,0.061,0.000,0.000,0
33,3,0.000,0.000,0.375,0.583,0.042,0.000,0
33,4,0.000,0.000,0.000,0.000,1.000,0.000,0
33,5,0.000,0.000,0.000,0.000,0.000,0.000,0
33,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
34,0,0.970,0.030,0.000,0.000,0.000,0.000,0
34,1,0.007,0.966,0.027,0.000,0.000,0.000,0
34,2,0.000,0.021,0.961,0.017,0.000,0.000,0
34,3,0.000,0.000,0.049,0.951,0.000,0.000,0
34,4,0.000,0.000,0.000,0.000,0.667,0.333,0
34,5,0.000,0.000,0.000,0.000,0.000,0.000,0
34,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
35,0,0.452,0.390,0.130,0.024,0.003,0.000,0
35,1,0.097,0.533,0.295,0.068,0.007,0.001,0
35,2,0.013,0.209,0.487,0.238,0.048,0.005,0
35,3,0.000,0.090,0.284,0.552,0.075,0.000,0
35,4,0.000,0.000,0.000,0.500,0.500,0.000,0
35,5,0.000,0.000,0.000,0.000,1.000,0.000,0
35,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
36,0,0.933,0.066,0.001,0.000,0.000,0.000,0
36,1,0.070,0.878,0.051,0.001,0.000,0.000,0
36,2,0.003,0.143,0.824,0.029,0.000,0.000,0
36,3,0.000,0.011,0.198,0.765,0.025,0.000,0
36,4,0.000,0.000,0.037,0.241,0.722,0.000,0
36,5,0.000,0.000,0.000,0.000,0.000,1.000,0
36,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
37,0,0.982,0.018,0.000,0.000,0.000,0.000,0
37,1,0.061,0.931,0.007,0.000,0.000,0.000,0
37,2,0.005,0.120,0.867,0.008,0.000,0.000,0
37,3,0.000,0.003,0.176,0.812,0.009,0.000,0
37,4,0.000,0.000,0.063,0.354,0.583,0.000,0
37,5,0.000,0.000,0.000,0.000,0.500,0.500,0
37,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
38,0,0.351,0.429,0.173,0.039,0.007,0.001,0
38,1,0.055,0.438,0.380,0.112,0.015,0.000,0
38,2,0.012,0.140,0.481,0.295,0.069,0.003,0
38,3,0.000,0.017,0.241,0.528,0.203,0.010,0
38,4,0.000,0.000,0.030,0.394,0.576,0.000,0
38,5,0.000,0.000,0.000,0.000,0.000,1.000,0
38,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
39,0,0.806,0.180,0.012,0.002,0.000,0.000,0
39,1,0.058,0.797,0.135,0.010,0.001,0.000,0
39,2,0.007,0.141,0.750,0.098,0.003,0.000,0
39,3,0.000,0.013,0.161,0.767,0.060,0.000,0
39,4,0.000,0.005,0.031,0.271,0.672,0.021,0
39,5,0.000,0.000,0.000,0.000,0.200,0.800,0
39,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
40,0,0.955,0.043,0.002,0.000,0.000,0.000,0
40,1,0.030,0.940,0.031,0.000,0.000,0.000,0
40,2,0.000,0.053,0.920,0.027,0.000,0.000,0
40,3,0.000,0.004,0.092,0.886,0.017,0.001,0
40,4,0.000,0.000,0.005,0.131,0.842,0.022,0
40,5,0.000,0.000,0.000,0.000,0.000,1.000,0
40,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,0,0.259,0.362,0.268,0.097,0.013,0.000,0
41,1,0.053,0.328,0.404,0.182,0.029,0.003,0
41,2,0.011,0.113,0.408,0.352,0.107,0.008,0
41,3,0.004,0.031,0.195,0.462,0.269,0.039,0
41,4,0.000,0.018,0.089,0.214,0.542,0.137,0
41,5,0.000,0.000,0.000,0.059,0.412,0.529,0
41,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
42,0,0.854,0.136,0.010,0.000,0.000,0.000,0
42,1,0.070,0.808,0.118,0.004,0.000,0.000,0
42,2,0.004,0.126,0.800,0.068,0.002,0.000,0
42,3,0.000,0.010,0.175,0.760,0.053,0.002,0
42,4,0.000,0.004,0.033,0.215,0.728,0.020,0
42,5,0.000,0.000,0.000,0.012,0.346,0.642,0
42,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
43,0,1.000,0.000,0.000,0.000,0.000,0.000,0
43,1,0.056,0.944,0.000,0.000,0.000,0.000,0
43,2,0.006,0.119,0.876,0.000,0.000,0.000,0
43,3,0.000,0.013,0.171,0.815,0.000,0.000,0
43,4,0.000,0.002,0.026,0.190,0.782,0.000,0
43,5,0.000,0.000,0.000,0.061,0.227,0.712,0
43,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
44,0,0.484,0.403,0.104,0.010,0.000,0.000,0
44,1,0.066,0.538,0.314,0.068,0.013,0.002,0
44,2,0.014,0.151,0.551,0.247,0.037,0.001,0
44,3,0.001,0.033,0.225,0.567,0.153,0.021,0
44,4,0.000,0.000,0.054,0.310,0.569,0.067,0
44,5,0.000,0.000,0.000,0.064,0.340,0.596,0
44,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
45,0,0.910,0.090,0.000,0.000,0.000,0.000,0
45,1,0.094,0.817,0.085,0.004,0.000,0.000,0
45,2,0.010,0.196,0.739,0.056,0.000,0.000,0
45,3,0.002,0.033,0.256,0.673,0.035,0.001,0
45,4,0.000,0.006,0.046,0.343,0.589,0.016,0
45,5,0.000,0.000,0.000,0.181,0.289,0.530,0
45,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
46,0,0.947,0.050,0.003,0.000,0.000,0.000,0
46,1,0.055,0.909,0.034,0.001,0.000,0.000,0
46,2,0.004,0.116,0.858,0.022,0.000,0.000,0
46,3,0.001,0.008,0.160,0.818,0.013,0.000,0
46,4,0.000,0.003,0.022,0.231,0.728,0.016,0
46,5,0.000,0.000,0.000,0.057,0.151,0.792,0
46,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
47,0,0.472,0.402,0.105,0.020,0.002,0.000,0
47,1,0.129,0.490,0.308,0.065,0.007,0.001,0
47,2,0.036,0.240,0.501,0.191,0.030,0.001,0
47,3,0.005,0.096,0.331,0.462,0.102,0.005,0
47,4,0.000,0.031,0.156,0.358,0.399,0.056,0
47,5,0.000,0.021,0.083,0.271,0.375,0.250,0
47,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
48,0,0.942,0.056,0.002,0.000,0.000,0.000,0
48,1,0.149,0.801,0.050,0.001,0.000,0.000,0
48,2,0.018,0.234,0.722,0.025,0.001,0.000,0
48,3,0.000,0.054,0.340,0.586,0.020,0.000,0
48,4,0.000,0.010,0.105,0.345,0.533,0.007,0
48,5,0.000,0.000,0.056,0.222,0.389,0.333,0
48,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
49,0,0.897,0.101,0.001,0.000,0.000,0.000,0
49,1,0.091,0.848,0.059,0.002,0.000,0.000,0
49,2,0.007,0.150,0.787,0.054,0.002,0.000,0
49,3,0.003,0.021,0.189,0.751,0.037,0.000,0
49,4,0.000,0.000,0.020,0.227,0.732,0.020,0
49,5,0.000,0.000,0.000,0.071,0.214,0.714,0
