House,hse_type,region,DHW filename,DHW multiplier,Dryer filename,Dryer multiplier,Stove-Other filename,Stove-Other multiplier
38PHA00099,2-DR,5-BC,DHW_200_Lpd,1.159,Dryer-med,0.85,Stove-high,1.27
38WHA00037,2-DR,5-BC,DHW_200_Lpd,0.801794520547945,Dryer-low,0.55,Stove-high,1.26
38WHA00041,2-DR,5-BC,DHW_100_Lpd,1.4853698630137,Dryer-low,1.11,Stove-med,1.12
38WHA00042,2-DR,5-BC,DHW_200_Lpd,0.790821917808219,Dryer-med,0.99,Stove-high,1.50
38WHA00049,2-DR,5-BC,DHW_200_Lpd,0.83641095890411,Dryer-med,1.08,Stove-high,1.35
5802A00011,2-DR,5-BC,DHW_100_Lpd,1.38572602739726,Dryer-med,1.03,Stove-high,1.01
5802A00082,2-DR,5-BC,DHW_200_Lpd,0.933945205479452,Dryer-low,0.67,Stove-high,1.54
5802A00090,2-DR,5-BC,DHW_200_Lpd,0.889616438356164,Dryer-low,0.97,Stove-med,1.14
5802A00133,2-DR,5-BC,DHW_100_Lpd,1.36378082191781,Dryer-low,0.60,Stove-high,1.64
5802A00155,2-DR,5-BC,DHW_100_Lpd,1.44482191780822,Dryer-low,1.58,Stove-high,0.83
5803A00009,2-DR,5-BC,DHW_200_Lpd,0.79841095890411,Dryer-med,0.74,Stove-high,1.36
5805A00011,2-DR,5-BC,DHW_100_Lpd,1.1458904109589,Dryer-low,0.33,Stove-med,1.11
5805A00042,2-DR,5-BC,DHW_200_Lpd,0.789123287671233,Dryer-low,0.00,Stove-high,1.55
5805A00064,2-DR,5-BC,DHW_300_Lpd,0.854493150684931,Dryer-med,0.79,Stove-high,1.34
5805A00069,2-DR,5-BC,DHW_200_Lpd,0.873150684931507,Dryer-low,0.00,Stove-high,1.40
5805A00097,2-DR,5-BC,DHW_200_Lpd,0.769287671232877,Dryer-high,0.87,Stove-high,1.27
5806A00016,2-DR,5-BC,DHW_200_Lpd,0.914356164383562,Dryer-low,1.52,Stove-high,1.43
5806A00022,2-DR,5-BC,DHW_100_Lpd,1.23879452054795,Dryer-med,0.94,Stove-high,1.56
5806A00034,2-DR,5-BC,DHW_100_Lpd,1.43471232876712,Dryer-high,0.88,Stove-high,1.22
5808A00047,2-DR,5-BC,DHW_200_Lpd,0.854698630136986,Dryer-med,0.75,Stove-high,0.81
5808A00171,2-DR,5-BC,DHW_200_Lpd,0.782369863013699,Dryer-high,1.25,Stove-high,1.02
5808A00173,2-DR,5-BC,DHW_100_Lpd,1.49802739726027,Dryer-low,0.68,Stove-high,1.01
5808A00182,2-DR,5-BC,DHW_200_Lpd,0.84213698630137,Dryer-low,0.62,Stove-high,1.47
