Reading ../../NN/NN_model/ALC-Inputs-V2.csv - Complete
Reading in the occupant start state XML - Complete
Loading the activity statistics - Complete
Starting the search at Tue Oct 27 17:07:35 2015
True Error 4.57367149873062, average of 2656.87367149873 kWh
True Error 160.555350180789, average of 2491.74464981921 kWh
True Error 11.8613700555893, average of 2640.43862994441 kWh
True Error 122.997048930173, average of 2775.29704893017 kWh
True Error 19.1291235713488, average of 2671.42912357135 kWh
True Error 205.34406436875, average of 2857.64406436875 kWh
True Error 184.941819139382, average of 2837.24181913938 kWh
True Error 93.1420950858437, average of 2745.44209508584 kWh
True Error 72.8572902192745, average of 2725.15729021927 kWh
True Error 49.9950662050787, average of 2702.29506620508 kWh
Wed Oct 28 03:49:34 2015: Minimum: 10.4458038602556, Scalar: 1.19364075007483, Error:0.402009929819958
True Error 129.205836539988, average of 2523.09416346001 kWh
True Error 342.24043936778, average of 2310.05956063222 kWh
True Error 3.83113461582752, average of 2648.46886538417 kWh
True Error 151.722569525199, average of 2500.5774304748 kWh
True Error 20.494009973027, average of 2672.79400997303 kWh
True Error 98.250848947971, average of 2554.04915105203 kWh
True Error 47.9719860334785, average of 2604.32801396652 kWh
True Error 26.0233510794114, average of 2626.27664892059 kWh
True Error 113.257775382434, average of 2765.55777538243 kWh
True Error 31.1201586184648, average of 2621.17984138154 kWh
True Error 38.9705906948057, average of 2691.27059069481 kWh
True Error 175.476029794096, average of 2827.7760297941 kWh
True Error 149.882720480915, average of 2802.18272048092 kWh
True Error 208.665478714938, average of 2860.96547871494 kWh
True Error 183.643183172895, average of 2835.9431831729 kWh
True Error 35.8979647533706, average of 2688.19796475337 kWh
Wed Oct 28 04:37:25 2015: Minimum: 5.99508926489762, Scalar: 1.19180796563624, Error:0.248847895600024
True Error 162.560437990098, average of 2489.7395620099 kWh
True Error 92.421868728235, average of 2559.87813127177 kWh
True Error 9.82721877852782, average of 2642.47278122147 kWh
True Error 91.4612028041633, average of 2560.83879719584 kWh
True Error 65.9867146539523, average of 2718.28671465395 kWh
True Error 104.652573251827, average of 2547.64742674817 kWh
True Error 176.008388376487, average of 2476.29161162351 kWh
True Error 25.6591659866776, average of 2677.95916598668 kWh
True Error 2.94013502354346, average of 2655.24013502354 kWh
True Error 1.3001832972991, average of 2653.6001832973 kWh
True Error 110.673961563743, average of 2762.97396156374 kWh
True Error 194.035474309982, average of 2846.33547430998 kWh
True Error 241.428368646119, average of 2893.72836864612 kWh
True Error 198.379233189039, average of 2850.67923318904 kWh
True Error 67.5302550765218, average of 2719.83025507652 kWh
True Error 9.26034901511912, average of 2661.56034901512 kWh
Wed Oct 28 05:26:13 2015: Minimum: 5.99508926489762, Scalar: 1.19180796563624, Error:0.15379187375311
True Error 207.123494985875, average of 2445.17650501413 kWh
True Error 13.4750088068768, average of 2638.82499119312 kWh
True Error 16.337412081612, average of 2668.63741208161 kWh
True Error 171.26634414644, average of 2481.03365585356 kWh
True Error 63.787853218163, average of 2716.08785321816 kWh
True Error 9.80895777071646, average of 2642.49104222928 kWh
True Error 2.61998926172873, average of 2654.91998926173 kWh
True Error 81.8534826626242, average of 2570.44651733738 kWh
True Error 22.5959944626711, average of 2629.70400553733 kWh
True Error 121.464198607761, average of 2773.76419860776 kWh
True Error 75.5006278727078, average of 2727.80062787271 kWh
True Error 62.8988883403363, average of 2715.19888834034 kWh
True Error 34.9511862469153, average of 2687.25118624692 kWh
True Error 129.588624874783, average of 2781.88862487478 kWh
True Error 237.737743605081, average of 2890.03774360508 kWh
True Error 53.3582978363402, average of 2705.65829783634 kWh
Wed Oct 28 06:14:51 2015: Minimum: 5.99508926489762, Scalar: 1.19180796563624, Error:0.0950479917356364
True Error 211.71279916394, average of 2440.58720083606 kWh
True Error 276.008753041895, average of 2376.29124695811 kWh
True Error 145.019164281894, average of 2507.28083571811 kWh
True Error 8.81953317991611, average of 2643.48046682008 kWh
True Error 19.7466015299556, average of 2632.55339847004 kWh
True Error 83.5191932236353, average of 2568.78080677636 kWh
True Error 0.86121488516892, average of 2653.16121488517 kWh
True Error 64.0884276193342, average of 2588.21157238067 kWh
True Error 8.9975114559702, average of 2661.29751145597 kWh
True Error 202.007722321086, average of 2854.30772232109 kWh
True Error 82.1956065704139, average of 2734.49560657041 kWh
True Error 148.054962498945, average of 2800.35496249895 kWh
True Error 73.8295893575114, average of 2726.12958935751 kWh
True Error 88.8756609764441, average of 2741.17566097644 kWh
True Error 155.239409126705, average of 2807.5394091267 kWh
True Error 1.04482006484841, average of 2653.34482006485 kWh
Wed Oct 28 07:03:50 2015: Minimum: 2.98799842396738, Scalar: 1.19137517379395, Error:0.0587638497725696
True Error 133.302640398679, average of 2518.99735960132 kWh
True Error 111.153303576207, average of 2541.14669642379 kWh
True Error 280.188760104331, average of 2372.11123989567 kWh
True Error 82.9276825340007, average of 2569.372317466 kWh
True Error 20.9301474725398, average of 2673.23014747254 kWh
True Error 29.2506507468033, average of 2623.0493492532 kWh
True Error 4.43860860228597, average of 2656.73860860229 kWh
True Error 12.6153148702083, average of 2664.91531487021 kWh
True Error 12.9862175739527, average of 2665.28621757395 kWh
True Error 84.9871679836751, average of 2737.28716798368 kWh
True Error 179.755986037268, average of 2832.05598603727 kWh
True Error 84.4135868760241, average of 2736.71358687602 kWh
True Error 176.128525039617, average of 2828.42852503962 kWh
True Error 69.0175344442068, average of 2721.31753444421 kWh
True Error 120.333800972891, average of 2772.63380097289 kWh
True Error 46.5734351653659, average of 2698.87343516537 kWh
Wed Oct 28 07:52:19 2015: Minimum: 2.98799842396738, Scalar: 1.19137517379395, Error:0.0363217385012981
True Error 23.5331741142868, average of 2675.83317411429 kWh
True Error 213.724721537011, average of 2438.57527846299 kWh
True Error 136.773205861115, average of 2515.52679413889 kWh
True Error 15.5806689396777, average of 2667.88066893968 kWh
True Error 63.9361022624962, average of 2588.3638977375 kWh
True Error 57.0945694422112, average of 2595.20543055779 kWh
True Error 104.319623814878, average of 2547.98037618512 kWh
True Error 18.9201714286069, average of 2633.37982857139 kWh
True Error 53.7629411246985, average of 2706.0629411247 kWh
True Error 43.2507015456017, average of 2695.5507015456 kWh
True Error 113.417241378389, average of 2765.71724137839 kWh
True Error 45.758978052254, average of 2606.54102194775 kWh
True Error 71.3689586503006, average of 2723.6689586503 kWh
True Error 197.973321378778, average of 2850.27332137878 kWh
True Error 266.721761606989, average of 2919.02176160699 kWh
True Error 3.09815184854142, average of 2655.39815184854 kWh
Wed Oct 28 08:41:37 2015: Minimum: 2.98799842396738, Scalar: 1.19137517379395, Error:0.0224479240459578
True Error 279.451962751851, average of 2372.84803724815 kWh
True Error 119.690192500344, average of 2532.60980749966 kWh
True Error 43.330589749286, average of 2608.96941025071 kWh
True Error 264.441064152787, average of 2387.85893584721 kWh
True Error 52.9778219270975, average of 2599.3221780729 kWh
True Error 65.8246060743195, average of 2586.47539392568 kWh
True Error 67.3338381686649, average of 2584.96616183134 kWh
True Error 53.8450022882334, average of 2598.45499771177 kWh
True Error 61.8750459013786, average of 2714.17504590138 kWh
True Error 108.158761369865, average of 2760.45876136987 kWh
True Error 109.241199464525, average of 2761.54119946453 kWh
True Error 113.000805359098, average of 2765.3008053591 kWh
True Error 10.2106382098705, average of 2662.51063820987 kWh
True Error 132.111805200582, average of 2784.41180520058 kWh
True Error 265.086966666265, average of 2917.38696666626 kWh
True Error 30.5667667650018, average of 2682.866766765 kWh
Wed Oct 28 09:31:40 2015: Minimum: 2.98799842396738, Scalar: 1.19137517379395, Error:0.0138734904981248
True Error 207.859114012219, average of 2444.44088598778 kWh
True Error 118.557898041656, average of 2533.74210195834 kWh
True Error 316.342618976239, average of 2335.95738102376 kWh
True Error 114.833145059242, average of 2537.46685494076 kWh
True Error 141.566817726916, average of 2510.73318227308 kWh
True Error 26.3194372444523, average of 2678.61943724445 kWh
True Error 36.6917097980572, average of 2615.60829020194 kWh
True Error 41.6106121144162, average of 2693.91061211442 kWh
True Error 44.3784683309423, average of 2607.92153166906 kWh
True Error 163.415374217649, average of 2815.71537421765 kWh
True Error 32.6232880233206, average of 2619.67671197668 kWh
True Error 139.975365890606, average of 2792.27536589061 kWh
True Error 9.85703802689932, average of 2662.1570380269 kWh
True Error 279.565910485091, average of 2931.86591048509 kWh
True Error 65.1878984392079, average of 2717.48789843921 kWh
True Error 97.3299087063442, average of 2749.62990870634 kWh
Wed Oct 28 10:19:32 2015: Minimum: 2.98799842396738, Scalar: 1.19137517379395, Error:0.00857423333255707
True Error 249.584793430519, average of 2402.71520656948 kWh
True Error 0.796496589300205, average of 2653.0964965893 kWh
True Error 28.1737220525697, average of 2680.47372205257 kWh
True Error 139.167152934951, average of 2513.13284706505 kWh
True Error 195.703295043003, average of 2456.596704957 kWh
True Error 47.8865450305516, average of 2604.41345496945 kWh
True Error 25.0080889256119, average of 2677.30808892561 kWh
True Error 41.1195012117628, average of 2693.41950121176 kWh
True Error 30.9410582031833, average of 2683.24105820318 kWh
True Error 205.816561454712, average of 2858.11656145471 kWh
True Error 2.22438996984602, average of 2650.07561003015 kWh
True Error 131.409923545856, average of 2783.70992354586 kWh
True Error 195.541948590995, average of 2847.841948591 kWh
True Error 104.258458590231, average of 2756.55845859023 kWh
True Error 181.102628510534, average of 2833.40262851053 kWh
True Error 5.52574725118257, average of 2657.82574725118 kWh
Wed Oct 28 11:09:56 2015: Minimum: 2.98799842396738, Scalar: 1.19137517379395, Error:0.00529913342651846
True Error 229.456539485199, average of 2422.8434605148 kWh
True Error 179.76477282128, average of 2472.53522717872 kWh
True Error 219.514073099881, average of 2432.78592690012 kWh
True Error 88.8172293886432, average of 2563.48277061136 kWh
True Error 62.6533738498192, average of 2589.64662615018 kWh
True Error 0.00744405227624156, average of 2652.30744405228 kWh
True Error 62.9381857540234, average of 2589.36181424598 kWh
True Error 84.8899979489624, average of 2737.18999794896 kWh
True Error 41.2330775159553, average of 2693.53307751596 kWh
True Error 24.1790624509104, average of 2628.12093754909 kWh
True Error 80.3816010601272, average of 2571.91839893987 kWh
True Error 139.38334743589, average of 2791.68334743589 kWh
True Error 152.465734144331, average of 2804.76573414433 kWh
True Error 58.1280777162624, average of 2710.42807771626 kWh
True Error 80.5313300870871, average of 2732.83133008709 kWh
True Error 5.60997906451576, average of 2646.69002093548 kWh
Wed Oct 28 11:58:39 2015: Minimum: 2.98799842396738, Scalar: 1.19137517379395, Error:0.00327502343159181
True Error 211.316979845589, average of 2440.98302015441 kWh
True Error 123.919847732832, average of 2528.38015226717 kWh
True Error 309.772824945776, average of 2342.52717505422 kWh
True Error 24.1500728058031, average of 2628.1499271942 kWh
True Error 78.3293178135218, average of 2730.62931781352 kWh
True Error 46.9584429124379, average of 2605.34155708756 kWh
True Error 12.0842706572348, average of 2664.38427065723 kWh
True Error 64.2320479731934, average of 2588.06795202681 kWh
True Error 143.632827756311, average of 2795.93282775631 kWh
True Error 150.573027715549, average of 2802.87302771555 kWh
True Error 1.43847604119355, average of 2653.73847604119 kWh
True Error 178.192062156431, average of 2830.49206215643 kWh
True Error 47.0534583419812, average of 2605.24654165802 kWh
True Error 53.8975871394996, average of 2706.1975871395 kWh
True Error 121.728224310392, average of 2774.02822431039 kWh
True Error 19.3663722664082, average of 2632.93362773359 kWh
Wed Oct 28 12:45:45 2015: Minimum: 2.98799842396738, Scalar: 1.19137517379395, Error:0.00202406273142756
True Error 349.552902604598, average of 2302.7470973954 kWh
True Error 263.441205693559, average of 2388.85879430644 kWh
True Error 95.3026676010436, average of 2556.99733239896 kWh
True Error 95.4006767447081, average of 2556.89932325529 kWh
True Error 100.693531003238, average of 2551.60646899676 kWh
True Error 3.37576764978485, average of 2655.67576764979 kWh
True Error 26.6298314474384, average of 2625.67016855256 kWh
True Error 9.62978476274111, average of 2642.67021523726 kWh
True Error 49.2217900003197, average of 2701.52179000032 kWh
True Error 16.7240584096344, average of 2635.57594159037 kWh
True Error 41.960868123309, average of 2694.26086812331 kWh
True Error 146.17542915381, average of 2798.47542915381 kWh
True Error 40.2128301750604, average of 2692.51283017506 kWh
True Error 203.217690214451, average of 2855.51769021445 kWh
True Error 327.430343035696, average of 2979.7303430357 kWh
True Error 26.8041944562938, average of 2625.49580554371 kWh
Wed Oct 28 13:33:54 2015: Minimum: 2.98799842396738, Scalar: 1.19137517379395, Error:0.00125093148990708
True Error 167.242073189057, average of 2485.05792681094 kWh
True Error 15.730496365491, average of 2668.03049636549 kWh
True Error 103.025423925537, average of 2549.27457607446 kWh
True Error 108.679142017332, average of 2760.97914201733 kWh
True Error 74.3843699452877, average of 2726.68436994529 kWh
True Error 37.7472187909184, average of 2614.55278120908 kWh
True Error 4.90630680357435, average of 2657.20630680357 kWh
True Error 67.5084860626444, average of 2584.79151393736 kWh
True Error 0.586940910263365, average of 2651.71305908974 kWh
True Error 137.667924649294, average of 2789.96792464929 kWh
True Error 207.091242235331, average of 2859.39124223533 kWh
True Error 176.525614106269, average of 2828.82561410627 kWh
True Error 60.5576976452617, average of 2712.85769764526 kWh
True Error 84.773365601141, average of 2737.07336560114 kWh
True Error 229.015739193475, average of 2881.31573919348 kWh
True Error 85.9855212967755, average of 2566.31447870322 kWh
Wed Oct 28 14:23:02 2015: Minimum: 2.98799842396738, Scalar: 1.19137517379395, Error:0.000773113188705703
Finished iterating at Wed Oct 28 14:23:02 2015
Minimum scalar 1.19137517379395 with absolute true difference of 2.98799842396738

Multithreading validation
True Error 190.425619705915, average of 2461.87438029408 kWh
True Error 254.066379975317, average of 2398.23362002468 kWh
True Error 60.3577727455881, average of 2591.94222725441 kWh
True Error 10.3726159982125, average of 2662.67261599821 kWh
True Error 34.1365752986626, average of 2618.16342470134 kWh
True Error 8.80230558212224, average of 2643.49769441788 kWh
True Error 113.312042158231, average of 2765.61204215823 kWh
True Error 138.689400698696, average of 2790.9894006987 kWh
True Error 84.5209651545292, average of 2736.82096515453 kWh
True Error 79.0426712395638, average of 2573.25732876044 kWh
True Error 14.7136757535054, average of 2637.58632424649 kWh
True Error 105.677636631654, average of 2757.97763663165 kWh
True Error 159.003130349467, average of 2811.30313034947 kWh
True Error 188.878422077273, average of 2841.17842207727 kWh
True Error 127.484069906268, average of 2779.78406990627 kWh
True Error 13.2607588849091, average of 2665.56075888491 kWh
Validation complete
