Reading ../../NN/NN_model/ALC-Inputs-V2.csv - Complete
Reading in the occupant start state XML - Complete
Loading the activity statistics - Complete
Starting the search at Tue Oct 27 11:31:53 2015
True Error 204.45990586215, average of 2444.44009413785 kWh
True Error 121.312557622222, average of 2527.58744237778 kWh
True Error 57.1801889481558, average of 2591.71981105184 kWh
True Error 321.094254720856, average of 2969.99425472086 kWh
True Error 4.20015240577595, average of 2653.10015240578 kWh
True Error 41.1726243026014, average of 2690.0726243026 kWh
True Error 57.3241655749985, average of 2706.224165575 kWh
True Error 148.713861404531, average of 2500.18613859547 kWh
True Error 76.4930923755928, average of 2725.39309237559 kWh
True Error 161.98455264328, average of 2486.91544735672 kWh
True Error 42.2018763659362, average of 2606.69812363406 kWh
True Error 63.6932483574592, average of 2712.59324835746 kWh
True Error 50.0478060754563, average of 2698.94780607546 kWh
True Error 80.3055261942441, average of 2729.20552619424 kWh
Wed Oct 28 04:17:28 2015: Minimum: 2.94500451936347, Scalar: 1.43459739176997, Error:1.41694081378505
True Error 195.435263632765, average of 2453.46473636723 kWh
True Error 79.5114724536325, average of 2728.41147245363 kWh
True Error 58.9752652448328, average of 2707.87526524483 kWh
True Error 155.12418933426, average of 2493.77581066574 kWh
True Error 19.2915912451117, average of 2629.60840875489 kWh
True Error 68.1115757694402, average of 2717.01157576944 kWh
True Error 92.8773555394819, average of 2556.02264446052 kWh
True Error 59.8996038334103, average of 2589.00039616659 kWh
True Error 359.768396571543, average of 3008.66839657154 kWh
True Error 156.562031953718, average of 2805.46203195372 kWh
True Error 14.0072824366916, average of 2634.89271756331 kWh
True Error 66.9055058708323, average of 2715.80550587083 kWh
True Error 25.3425279922344, average of 2674.24252799223 kWh
True Error 217.660182516145, average of 2431.23981748386 kWh
True Error 123.602186999296, average of 2525.2978130007 kWh
True Error 72.5468174327116, average of 2721.44681743271 kWh
Wed Oct 28 05:40:08 2015: Minimum: 0.614121109486859, Scalar: 1.44236192828559, Error:0.870997790307499
True Error 110.176544087673, average of 2538.72345591233 kWh
True Error 154.992971694326, average of 2493.90702830567 kWh
True Error 89.9975305961648, average of 2738.89753059616 kWh
True Error 4.23184496951944, average of 2653.13184496952 kWh
True Error 203.267941972863, average of 2445.63205802714 kWh
True Error 137.48951355058, average of 2786.38951355058 kWh
True Error 86.1222465218398, average of 2562.77775347816 kWh
True Error 40.8056277272281, average of 2689.70562772723 kWh
True Error 7.23582006160086, average of 2656.1358200616 kWh
True Error 32.2488599925346, average of 2681.14885999253 kWh
True Error 23.9078062623662, average of 2672.80780626237 kWh
True Error 293.595523734709, average of 2942.49552373471 kWh
True Error 61.570930046043, average of 2587.32906995396 kWh
True Error 6.53838360016789, average of 2642.36161639983 kWh
True Error 8.21733209276954, average of 2640.68266790723 kWh
True Error 70.9664129064859, average of 2719.86641290649 kWh
Wed Oct 28 07:14:30 2015: Minimum: 0.614121109486859, Scalar: 1.44236192828559, Error:0.538315334148432
True Error 10.5660784430547, average of 2659.46607844305 kWh
True Error 147.976158705553, average of 2500.92384129445 kWh
True Error 57.437837930881, average of 2591.46216206912 kWh
True Error 14.8915915953717, average of 2634.00840840463 kWh
True Error 108.550633623945, average of 2540.34936637606 kWh
True Error 92.0028442640646, average of 2556.89715573594 kWh
True Error 270.553098479429, average of 2919.45309847943 kWh
True Error 5.10554036212579, average of 2654.00554036213 kWh
True Error 133.069207171215, average of 2515.83079282878 kWh
True Error 102.46372945606, average of 2546.43627054394 kWh
True Error 48.0220123486151, average of 2600.87798765138 kWh
True Error 35.8895491628241, average of 2613.01045083718 kWh
True Error 75.8403707013281, average of 2724.74037070133 kWh
True Error 47.5505896904065, average of 2696.45058969041 kWh
True Error 67.3224857911164, average of 2581.57751420888 kWh
True Error 80.0381951634404, average of 2728.93819516344 kWh
Wed Oct 28 08:34:45 2015: Minimum: 0.614121109486859, Scalar: 1.44236192828559, Error:0.332695025963757
